"","CowTagID","pc1","Low_Tide_Mean_Salinity","Low_Tide_Mean_Phosphate_umolL","Low_Tide_Mean_Silicate_umolL","Low_Tide_Mean_NN_umolL","Low_Tide_Mean_NNP_umolL","sd_Salinity","sd_Temperature","sd_TA","sd_pH"
"1","V1",-2.19649686850542,36.43,0.1987122365,3.41604719775,0.69447906475,3.49064986306732,0.156153541655093,0.75950994538772,20.764290132597,0.0610922534844697
"2","V10",1.551172887591,36.45,0.18176250425,1.81897920325,0.4009730665,2.03877307610371,0.134794817619754,0.945561057936353,19.3576707420246,0.0488800345731399
"3","V11",-1.5190036267665,36.4025,0.189106369,3.22989863675,0.64059296125,3.3087303291743,0.164642469785725,0.812597246927583,25.9890984122356,0.0462751570303607
"4","V12",1.16586580801182,36.415,0.177267015,1.951961358,0.43589203875,2.2895828679989,0.13943124265591,0.810871444804909,14.9448212775705,0.0437891196760863
"5","V13",1.36777440825369,36.505,0.18888561225,1.3930262685,0.44368746575,2.30615578209036,0.0855235974119754,0.785672293250152,16.4257065181565,0.0550633039152325
"6","V14",0.644483180274404,36.4025,0.18928006925,3.1131265185,0.37355431975,1.88899183440276,0.108553804960621,0.903690844734604,24.1537922276362,0.0573023384158333
"7","V15",-1.63923785839317,36.39,0.2084394345,3.6462181245,0.55861212775,2.5261746565845,0.143402530362215,0.904034607428593,20.957167709848,0.0501640021815341
"8","V16",3.41020001029473,36.5475,0.1836363385,1.200470768,0.25112055475,1.28893942332807,0.0879529094783932,0.852792681220269,15.1350669411008,0.0461675233211907
"9","V17",0.39832467164084,36.63,0.20013826875,3.66871002475,0.48926421475,2.27249239616314,0.313627015357261,0.905517478993037,17.6450885216912,0.0478164441818802
"10","V18",-2.68694394491567,36.32,0.219570761,4.491727679,0.55812437175,2.3397807674378,0.229144371209818,0.776216786729068,24.1538794635373,0.0511170370442307
"11","V19",3.50514223081959,36.575,0.18132532925,1.078725416,0.2723366555,1.4380288399306,0.120208152801712,0.950074245219063,18.7097891243407,0.0489826467006858
"12","V2",-2.19012591813476,36.3475,0.1972792665,3.32593137175,0.65829689425,3.23250664836125,0.169537185133105,0.74561575703767,12.3969718012855,0.0521680272622954
"13","V20",2.16752870704982,36.535,0.1907475195,1.46813996975,0.3531521435,1.77963679958638,0.121353968679585,0.871803344469709,18.5328483012213,0.0542513565971144
"14","V3",0.15122394439168,36.4675,0.187864989,2.26399907775,0.531605573,2.74519060710338,0.102097059329883,0.688594150978575,14.6982582236061,0.058931213355246
"15","V4",0.639896585296094,36.51,0.18978425525,1.6820135835,0.54024314,2.5870277382775,0.0752021086330502,0.764778212481052,16.2638383257635,0.0451909502030217
"16","V5",-0.0151341493242588,36.4225,0.188885612,2.49557079375,0.51901635425,2.53108521046912,0.123519807549814,0.833820809800969,17.5378151056698,0.0465302681402046
"17","V6",-2.04020618098347,36.4025,0.20268565,4.00505053725,0.61219278825,2.96194207842928,0.0979431321883112,0.728166729337647,26.3444935190455,0.0537039899816529
"18","V7",-2.38910216531435,36.3775,0.2010206465,3.9576941135,0.65222647475,3.16152631935658,0.10580755216542,0.81736219167573,14.3489852764105,0.058550787270266
"19","V8",-1.78042632100493,36.4075,0.194976495,3.876452652,0.63788083775,3.00987527689247,0.191716867131865,0.875051018920774,14.5245154379046,0.0516918997131574
"20","V9",1.45506459971886,36.4825,0.18862441175,1.53515838975,0.4182850645,2.09848071009016,0.0877394682324568,0.850289866541321,17.2025871205652,0.0518708076383441
