"","CowTagID","pc1","pc2","Low_Tide_Mean_Salinity","Low_Tide_Mean_TA","Low_Tide_Mean_pH","Low_Tide_Mean_Phosphate_umolL","Low_Tide_Mean_Silicate_umolL","Low_Tide_Mean_NN_umolL"
"1","V1",2.57030154546338,-0.830805296154047,36.43,2355.5664505,7.98354497998953,0.1987122365,3.41604719775,0.69447906475
"2","V10",-1.70460130265284,-0.41547779451852,36.45,2342.498401,8.014312690105,0.18176250425,1.81897920325,0.4009730665
"3","V11",0.781047330619534,-0.398170167262923,36.4025,2346.734425,8.00593266830351,0.189106369,3.22989863675,0.64059296125
"4","V12",-1.38101579277823,-0.900224898014916,36.415,2341.67476775,8.0091283648237,0.177267015,1.951961358,0.43589203875
"5","V13",-1.51319814647868,-0.112603179030824,36.505,2340.17320225,8.0054678026332,0.18888561225,1.3930262685,0.44368746575
"6","V14",-0.520561035953089,0.313719726819442,36.4025,2345.11375475,8.01201534915183,0.18928006925,3.1131265185,0.37355431975
"7","V15",1.41677642322444,1.36931551231441,36.39,2345.25953125,8.00535741596001,0.2084394345,3.6462181245,0.55861212775
"8","V16",-3.26039375216805,0.122859565585515,36.5475,2344.9584885,8.02765945988637,0.1836363385,1.200470768,0.25112055475
"9","V17",-0.280099879026856,1.20102642423444,36.63,2345.62927475,8.00549266562117,0.20013826875,3.66871002475,0.48926421475
"10","V18",2.9075773471069,1.9550526373098,36.32,2350.87985025,8.00313281572369,0.219570761,4.491727679,0.55812437175
"11","V19",-3.91934783837177,0.461258164292593,36.575,2336.63244825,8.0285915356458,0.18132532925,1.078725416,0.2723366555
"12","V2",2.23519881928328,-0.525894363931875,36.3475,2350.71627425,7.9905886964339,0.1972792665,3.32593137175,0.65829689425
"13","V20",-2.51263651717071,1.00393850053568,36.535,2328.7855055,8.00686299867332,0.1907475195,1.46813996975,0.3531521435
"14","V3",0.315296581994097,-1.22871623778861,36.4675,2355.17410475,7.9990154604578,0.187864989,2.26399907775,0.531605573
"15","V4",-1.2149399424835,-0.120604607508851,36.51,2345.1256635,8.01718516151605,0.18978425525,1.6820135835,0.54024314
"16","V5",0.106828330099612,-0.643718843467814,36.4225,2351.0927145,8.00733123087945,0.188885612,2.49557079375,0.51901635425
"17","V6",2.68586484714949,-0.34328144263217,36.4025,2362.90435175,7.99713070959145,0.20268565,4.00505053725,0.61219278825
"18","V7",2.07197823708377,0.311014843717115,36.3775,2350.18324325,8.00089677901312,0.2010206465,3.9576941135,0.65222647475
"19","V8",2.14540711967069,-0.468077966069769,36.4075,2349.84303575,7.98588672180544,0.194976495,3.876452652,0.63788083775
"20","V9",-0.929482374611464,-0.750610578428676,36.4825,2352.00076,8.00793096002875,0.18862441175,1.53515838975,0.4182850645
