CowTagID,lat,lon,pc1
V13,-17.540749,-149.899133,-1.5131981464786803
V14,-17.54039696,-149.899396,-0.5205610359530888
V20,-17.54045103,-149.899509,-2.5126365171707112
V17,-17.54031901,-149.899572,-0.280099879026856
V9,-17.540245,-149.899765,-0.929482374611464
V10,-17.54030501,-149.899788,-1.7046013026528402
V19,-17.54050802,-149.89978,-3.9193478383717744
V18,-17.54019697,-149.899906,2.9075773471068973
V8,-17.54014903,-149.899896,2.14540711967069
V7,-17.54004803,-149.899985,2.071978237083774
V11,-17.54019303,-149.900068,0.7810473306195345
V12,-17.54030996,-149.900112,-1.381015792778227
V6,-17.54002498,-149.900106,2.6858648471494853
V15,-17.54014299,-149.900183,1.4167764232244382
V5,-17.54025003,-149.900336,0.10682833009961186
V4,-17.54024902,-149.900454,-1.2149399424834957
V16,-17.54029797,-149.900492,-3.2603937521680497
V3,-17.54012598,-149.90056,0.31529658199409705
V2,-17.53989003,-149.900519,2.2351988192832812
V1,-17.53975298,-149.900506,2.570301545463377
